ds,y,RESP,MA_ATM,bar
2019-01-31,470450000.0,-168,109235448,168
2019-02-01,425450000.0,-154,100132494,154
2019-02-02,193550000.0,-60,39012660,60
2019-02-03,160400000.0,-54,35111394,54
2019-02-04,83650000.0,-35,22757385,35
2019-02-05,10250000.0,-7,4551477,7
2019-02-06,6700000.0,-7,4551477,7
2019-02-07,8500000.0,-4,2600844,4
2019-02-08,15900000.0,-9,5851899,9
2019-02-09,19050000.0,-7,4551477,7
2019-02-10,56300000.0,-25,16255275,25
2019-02-11,127650000.0,-42,27308862,42
2019-02-12,148550000.0,-58,37712238,58
2019-02-13,125000000.0,-54,35111394,54
2019-02-14,609120000.0,92102,160602117,247
2019-02-15,174050000.0,-71,46164981,71
2019-02-16,119850000.0,-65,42263715,65
2019-02-17,95700000.0,-42,27308862,42
2019-02-18,194400000.0,-84,54617724,84
2019-02-19,251200000.0,-97,63070467,97
2019-02-20,196400000.0,1900,55918146,86
2019-02-21,160550000.0,-78,50716458,78
2019-02-22,171700000.0,-82,53317302,82
2019-02-23,174250000.0,-67,43564137,67
2019-02-24,64900000.0,-22,14304642,22
2019-02-25,141650000.0,-63,40963293,63
2019-02-26,124070000.0,34672,53967513,83
2019-02-27,142140000.0,3911,39662871,61
2019-02-28,212750000.0,-79,51366669,79
2019-03-01,195150000.0,-91,59169201,91
2019-03-02,270850000.0,-105,68272155,105
2019-03-03,111250000.0,-53,34461183,53
2019-03-04,175700000.0,-81,52667091,81
2019-03-05,108700000.0,-66,42913926,66
2019-03-06,187950000.0,-80,52016880,80
2019-03-07,247400000.0,-95,61770045,95
2019-03-08,182950000.0,-79,51366669,79
2019-03-09,227550000.0,-99,64370889,99
2019-03-10,91600000.0,-51,33160761,51
2019-03-11,129400000.0,-73,47465403,73
2019-03-12,159300000.0,-81,52667091,81
2019-03-13,103630000.0,22772,43564137,67
2019-03-14,93900000.0,-54,35111394,54
2019-03-15,221900000.0,-94,61119834,94
2019-03-16,168400000.0,-77,50066247,77
2019-03-17,110000000.0,-49,31860339,49
2019-03-18,113450000.0,-68,44214348,68
2019-03-19,233350000.0,-86,55918146,86
2019-03-20,160000000.0,-71,46164981,71
2019-03-21,153700000.0,-77,50066247,77
2019-03-22,178600000.0,-77,50066247,77
2019-03-23,237500000.0,-100,65021100,100
2019-03-24,81850000.0,-45,29259495,45
2019-03-25,195122000.0,41601,68272155,105
2019-03-26,116590000.0,35669,51366669,79
2019-03-27,158800000.0,-73,47465403,73
2019-03-28,172150000.0,-76,49416036,76
2019-03-29,181000000.0,-88,57218568,88
2019-03-30,220600000.0,-101,65671311,101
2019-03-31,162600000.0,-66,42913926,66
2019-04-01,121650000.0,38636,59169201,91
2019-04-02,228750000.0,62434,81276375,125
2019-04-03,169200000.0,-84,54617724,84
2019-04-04,161450000.0,-76,49416036,76
2019-04-05,192700000.0,-82,53317302,82
2019-04-06,137150000.0,-60,39012660,60
2019-04-07,76300000.0,-50,32510550,50
2019-04-08,221200000.0,-105,68272155,105
2019-04-09,234950000.0,-104,67621944,104
2019-04-10,204800000.0,-88,57218568,88
2019-04-11,172000000.0,-75,48765825,75
2019-04-12,171650000.0,-62,40313082,62
2019-04-13,96650000.0,-48,31210128,48
2019-04-14,86900000.0,-55,35761605,55
2019-04-15,111150000.0,-63,40963293,63
2019-04-16,191050000.0,-81,52667091,81
2019-04-17,154930000.0,7866,50716458,78
2019-04-18,180500000.0,-79,51366669,79
2019-04-19,244050000.0,-97,63070467,97
2019-04-20,153250000.0,-86,55918146,86
2019-04-21,60000000.0,-44,28609284,44
2019-04-22,212450000.0,-96,62420256,96
2019-04-23,153250000.0,-88,57218568,88
2019-04-24,80200000.0,-45,29259495,45
2019-04-25,150350000.0,-81,52667091,81
2019-04-26,305550000.0,-132,85827852,132
2019-04-27,229450000.0,-98,63720678,98
2019-04-28,137850000.0,-70,45514770,70
2019-04-29,144550000.0,-55,35761605,55
2019-04-30,43650000.0,-28,18205908,28
2019-05-01,95150000.0,-39,25358229,39
2019-05-02,200250000.0,-84,54617724,84
2019-05-03,161280000.0,-88,57218568,88
2019-05-04,73100000.0,-57,37062027,57
2019-05-05,94592000.0,60501,46815192,72
2019-05-06,206494000.0,43585,69572577,107
2019-05-07,212200000.0,-93,60469623,93
2019-05-08,145750000.0,-85,55267935,85
2019-05-09,126320000.0,1921,42263715,65
2019-05-10,187500000.0,-98,63720678,98
2019-05-11,187500000.0,-72,46815192,72
2019-05-12,140450000.0,-71,46164981,71
2019-05-13,148680000.0,10840,53967513,83
2019-05-14,130500000.0,-72,46815192,72
2019-05-15,164500000.0,-74,48115614,74
2019-05-16,170000000.0,-79,51366669,79
2019-05-17,93690000.0,1936,32510550,50
2019-05-18,141800000.0,-81,52667091,81
2019-05-19,91100000.0,-44,28609284,44
2019-05-20,234850000.0,-96,62420256,96
2019-05-21,172750000.0,-85,55267935,85
2019-05-22,76650000.0,-51,33160761,51
2019-05-23,163850000.0,-84,54617724,84
2019-05-24,226100000.0,-96,62420256,96
2019-05-25,191220000.0,39606,74124054,114
2019-05-26,82660000.0,65472,42913926,66
2019-05-27,162660000.0,35670,50716458,78
2019-05-28,217100000.0,-96,62420256,96
2019-05-29,170250000.0,-81,52667091,81
2019-05-30,208550000.0,-118,76724898,118
2019-05-31,199150000.0,1909,50066247,77
2019-06-01,186950000.0,-80,52016880,80
2019-06-02,110750000.0,-60,39012660,60
2019-06-03,208550000.0,-87,56568357,87
2019-06-04,197200000.0,-86,55918146,86
2019-06-05,160850000.0,-70,45514770,70
2019-06-06,121350000.0,-71,46164981,71
2019-06-07,271400000.0,-116,75424476,116
2019-06-08,263550000.0,-107,69572577,107
2019-06-09,53800000.0,-42,27308862,42
2019-06-10,181650000.0,-88,57218568,88
2019-06-11,172970000.0,6847,67621944,104
2019-06-12,149150000.0,-66,42913926,66
2019-06-13,124150000.0,-65,42263715,65
2019-06-14,165800000.0,-78,50716458,78
2019-06-15,256000000.0,-97,63070467,97
2019-06-16,0.0,0,0,0
2019-06-17,239500000.0,-97,63070467,97
2019-06-18,160500000.0,-66,42913926,66
2019-06-19,116350000.0,-57,37062027,57
2019-06-20,158650000.0,-86,55918146,86
2019-06-21,151150000.0,-78,50716458,78
2019-06-22,128400000.0,-62,40313082,62
2019-06-23,90450000.0,-50,32510550,50
2019-06-24,120490000.0,24750,48765825,75
2019-06-25,149220000.0,41620,55918146,86
2019-06-26,165650000.0,-86,55918146,86
2019-06-27,208200000.0,-87,56568357,87
2019-06-28,195860000.0,41606,65021100,100
2019-06-29,220760000.0,11815,65671311,101
2019-06-30,173550000.0,-75,48765825,75
2019-07-01,246050000.0,-116,75424476,116
2019-07-02,148770000.0,29704,55918146,86
2019-07-03,144550000.0,-77,50066247,77
2019-07-04,119650000.0,-71,46164981,71
2019-07-05,197250000.0,-90,58518990,90
2019-07-06,169650000.0,-82,53317302,82
2019-07-07,88000000.0,-53,34461183,53
2019-07-08,216550000.0,-94,61119834,94
2019-07-09,170230000.0,3887,55267935,85
2019-07-10,278100000.0,-113,73473843,113
2019-07-11,186450000.0,-88,57218568,88
2019-07-12,132680000.0,926,43564137,67
2019-07-13,156500000.0,-79,51366669,79
2019-07-14,85940000.0,-58,37712238,58
2019-07-15,187250000.0,-84,54617724,84
2019-07-16,148500000.0,-71,46164981,71
2019-07-17,131350000.0,-63,40963293,63
2019-07-18,266100000.0,-104,67621944,104
2019-07-19,186400000.0,-104,67621944,104
2019-07-20,147000000.0,-73,47465403,73
2019-07-21,108900000.0,76373,57218568,88
2019-07-22,150324000.0,112096,73473843,113
2019-07-23,136980000.0,38637,58518990,90
2019-07-24,152150000.0,-69,44864559,69
2019-07-25,130600000.0,-71,46164981,71
2019-07-26,196850000.0,-97,63070467,97
2019-07-27,204450000.0,-83,53967513,83
2019-07-28,147000000.0,-70,45514770,70
2019-07-29,226050000.0,-83,53967513,83
2019-07-30,152598000.0,33674,57218568,88
2019-07-31,213150000.0,-103,66971733,103
2019-08-01,200800000.0,-108,70222788,108
2019-08-02,189000000.0,-83,53967513,83
2019-08-03,154260000.0,11843,47465403,73
2019-08-04,132500000.0,-63,40963293,63
2019-08-05,193900000.0,-100,65021100,100
